time(ms), Accel (x), Accel (y), Accel (z)
1478106644428, 3.417693, 1.6477735, 10.200389
1478106644529, 3.163821, 1.6429834, 6.8904715
1478106644631, 3.530259, 1.2717555, 8.717872
1478106644737, -1.839375, 0.81191164, 10.32972
1478106644843, 5.712122, -0.732876, 7.448511
1478106644947, 17.366287, 1.947151, 4.2176294
1478106645053, 4.026028, -0.488584, 5.980364
1478106645158, 10.197993, -0.46942386, -0.4766089
1478106645266, 6.5791187, -2.7470875, 6.1240654
1478106645372, 9.683064, -3.5182838, 3.3290772
1478106645476, 6.07856, -4.643943, 3.0847852
1478106645579, 5.7552323, -4.3254056, 3.8320315
1478106645680, 6.1695704, -4.87626, 5.362449
1478106645784, 7.5251517, -4.7876444, 5.2043777
1478106645887, 4.3254056, -5.977969, 4.976851
1478106645990, 4.488267, -4.4451566, 4.4691067
1478106646097, 5.4462748, -6.4928985, 5.860613
1478106646202, 5.381609, -5.9635987, 2.555486
1478106646309, 9.70941, -10.938055, 2.215393
1478106646416, -2.1219873, -7.082073, -2.6776319
1478106646524, 3.1422658, -9.534574, 1.0514137
1478106646630, 1.4585669, -6.248606, -5.4295096
1478106646732, -2.7207422, -7.8580594, -0.011975098
1478106646836, 13.069622, -19.334993, -4.0356083
1478106646941, -4.4691067, -0.5508545, -14.798826
1478106647046, 0.974773, -10.6746025, -6.3156667
1478106647150, -3.2332766, -8.274793, 2.6153615
1478106647255, -0.79993653, -6.7970657, 1.5567628
1478106647359, -1.468147, -8.722662, 3.891907
1478106647462, -2.7159522, -8.679551, -0.117355965
1478106647568, -3.558999, -7.1395535, 3.159031
1478106647674, -2.6177564, -8.188572, 1.7962648
1478106647776, -1.5352076, -8.061636, 3.551814
1478106647880, -3.2021413, -8.267608, 2.0405567
1478106647984, -2.4812403, -8.217313, 2.543511
1478106648087, -2.1627028, -8.056846, 3.0416749
1478106648190, -2.7566676, -8.341853, 2.5099807
1478106648294, -2.4069948, -8.576566, 1.3388159
1478106648398, -2.4045997, -8.452024, 2.6369166
1478106648501, -3.1183155, -8.078402, 2.1650977
1478106648606, -2.5866213, -8.51669, 2.5842261
1478106648709, -1.9351759, -8.741821, 2.3566992
1478106648813, -1.8465601, -8.394544, 2.320774
1478106648919, -2.8572583, -8.270002, 2.2297633
1478106649023, -2.1339624, -8.253238, 2.1076174
1478106649130, -2.2776637, -8.241262, 2.3519094
1478106649234, -2.454895, -8.327483, 2.3854396
1478106649340, -2.3638844, -8.255632, 2.2513185
1478106649443, -2.3447242, -8.576566, 2.430945
1478106649889, -2.0381618, -7.9826, 3.671565
1478106649993, 0.68737066, -9.486672, 3.166216
1478106650098, 1.4058765, -9.802815, 1.6908839
1478106650203, -2.069297, -9.230406, -3.6691701
1478106650311, -5.2762284, -9.524993, 4.263135
1478106650417, -2.7494826, -4.0787187, 1.7411792
1478106650522, -2.4908204, -3.8176613, 1.0466236
1478106650626, 14.729371, -22.647306, -2.299219
1478106650734, -9.127419, -10.336905, 0.5029541
1478106650837, -6.0833497, -2.7854078, 0.42870852
1478106650941, -0.87897223, -6.9240017, 8.222102
1478106651044, 1.1328443, -8.298743, 1.7866846
1478106651147, 0.41912845, -9.357342, 2.4022048
1478106651251, 0.25387207, -9.18011, 3.906277
1478106651358, 0.93405765, -12.760665, -11.349998
1478106651462, -9.347761, -14.865887, 2.555486
1478106651566, -1.3747413, -5.465435, -2.8668385
1478106651671, -4.0499783, -3.2332766, -0.23471193
1478106651776, 0.47181886, -8.859178, 4.6846585
1478106651880, -4.8427296, -2.315984, -0.57959473
1478106651984, -3.784131, -4.2056546, -0.06706055
1478106652089, -10.626702, -13.198954, 4.7804594
1478106652195, -2.2800586, -8.715476, 3.8751419
1478106652304, 0.43589357, -8.998089, 1.7148341
1478106652409, 0.7376661, -7.92991, 2.802173
1478106652512, -0.050295413, -12.904366, 3.5039136
1478106652616, -5.374424, -11.982284, 3.288362
1478106652724, -1.6190332, -4.25595, 6.11688
1478106652829, -4.1625443, -4.670288, 3.3554225
1478106652934, -3.5206788, -4.5816727, -2.3710694
1478106653037, 11.8002615, -15.138919, 3.0728102
1478106653141, -3.4368532, -20.288212, 4.4762917
1478106653245, -5.2091675, -5.096602, 0.49097902
1478106653351, -0.613125, -6.3923073, 7.3527102
1478106653456, -0.07903565, -7.7167535, 1.4298267
1478106653562, -0.9244776, -8.339458, 1.8513502
1478106653666, -0.36883304, -9.045989, 4.430786
1478106653774, -0.4382886, -10.914104, 2.943479
1478106653881, -5.9300685, -11.654165, 2.6009912
1478106653989, -1.1567944, -6.7491655, 3.9517825
1478106654095, -2.064507, -6.4162574, 2.6393116
1478106654199, -2.6441016, -6.2342362, -0.859812
1478106654303, 2.8404932, -14.738951, -3.9565725
1478106654409, -1.8896705, -6.744375, 0.5029541
1478106654512, -1.839375, -7.2497244, 3.173401
1478106654633, -5.716912, -9.965676, 5.4031644
1478106654740, 0.43349856, -7.1635036, 7.086863
1478106654853, -1.7747096, -9.187295, 0.80233157
1478106654958, -0.5460645, -7.441326, 3.4727786
1478106655063, -2.1818628, -8.732242, 2.6297317
1478106655168, -1.2693604, -9.69504, 3.9350173
1478106655272, -1.5160475, -9.366921, -0.19639161
1478106655378, -7.9155397, -9.445957, 3.6763551
1478106655488, -0.21315674, -7.9897857, -1.5064673
1478106655592, -3.891907, -4.8211746, 0.026345216
1478106655699, -0.87178713, -11.9128275, 1.5280225
1478106655806, 2.3902297, -6.581514, -0.31374758
1478106655910, -1.5974782, -19.907404, -0.48139894
1478106656015, -5.9085135, -5.1684523, 0.9244776
1478106656120, -0.99393314, -6.8904715, 6.3947024
1478106656224, -1.3507911, -8.533455, 1.4873072
1478106656328, -0.23231691, -8.978929, -0.014370117
1478106656431, -0.083825685, -8.51669, 3.4416432
1478106656537, -2.2872438, -10.291399, 3.661985
1478106656640, -2.2800586, -11.476934, 1.1232642
1478106656747, -5.213958, -6.1647806, 4.24158
1478106656851, -1.1496094, -6.4426026, -0.5388794
1478106656955, -2.435735, -5.1947975, -0.4742139
1478106657059, 2.2393434, -13.151052, 3.9374123
1478106657162, 3.767366, -7.32397, 2.6656568
1478106657265, -3.6092947, -9.972861, 1.9926564
1478106657368, -6.2342362, -9.546548, 0.96758795
1478106657472, -3.1278956, -7.788604, 5.52052
1478106657576, -1.839375, -8.758587, 2.2632935
1478106657681, -2.684817, -7.92991, 0.25866213
1478106657785, -1.6693287, -8.202942, 3.8535867
1478106657891, -1.6190332, -9.678274, 3.3626075
1478106657994, -0.6490503, -10.942844, -4.514612
1478106658097, -9.869876, -9.273516, 2.42855
1478106658200, -1.7747096, -8.840017, -1.8489552
1478106658303, -1.6238233, -8.3179035, 1.0585986
1478106658409, -2.2129982, -7.688013, 0.9388477
1478106658512, -1.3962965, -8.224498, 0.94603276
1478106658617, 0.5604346, -7.941885, 1.3795313
1478106658720, -2.5291407, -6.933582, -1.0346485
1478106658824, -4.976851, -8.111932, 2.0525317
1478106658931, -1.2334352, -8.5119, 5.4989653
1478106659037, -2.2345533, -8.986114, 0.75203615
1478106659141, -2.8812087, -8.121511, 2.1555176
1478106659245, -2.799778, -7.9706254, 2.672842
1478106659347, -2.8428884, -8.0999565, 2.1722827
1478106659452, -3.7074904, -7.599397, 2.4261549
1478106659558, -3.1231055, -8.634046, 1.587898
1478106659678, -2.8692336, -8.238868, 1.575923
1478106659783, -4.5601172, -7.668853, 2.7494826
1478106659890, -3.6332448, -8.032896, 2.186653
1478106659995, -3.4871485, -8.1143265, 1.5447876
1478106660099, -3.6907253, -8.339458, 1.4849122
1478106660200, -3.6404297, -8.200547, 1.4394068
1478106660305, -6.823411, -6.6653395, 1.223855
1478106660408, -5.7767873, -9.968072, 4.720584
1478106660513, 0.85023195, -10.159674, 3.4919386
1478106660618, -10.518927, -5.6282964, 2.4788454
1478106660724, -3.0943654, -7.999366, -11.05541
1478106660828, -6.7395854, -15.522122, 5.350474
1478106660934, 0.6706055, -10.686578, 10.095008
1478106661038, 6.205496, -5.357659, 8.945398
1478106661142, 4.5792775, -5.5636306, 9.788445
1478106661246, -6.543194, -5.3025737, 10.518927
1478106661348, -2.1722827, -3.544629, 4.9145803
1478106661453, -1.4130616, -0.87897223, 3.5566041
1478106661558, 0.13172609, -1.1927198, 8.073611
1478106661662, 0.9532178, -0.13651612, 3.9254372
1478106661768, 5.745652, 2.1579127, 7.0198026
1478106661872, 2.4093897, 1.7555494, 10.116563
1478106661978, 0.72569096, 3.4919386, 9.958491
1478106662081, 0.11496094, 3.5973196, 9.553733
1478106662190, 0.41912845, 2.811753, 16.025076
